tick,symbol,real_mid,real_spread,real_bidDepth,real_askDepth,engine_bestBid,engine_bestAsk
940980,ADA,1.2081,0.0028,0,0,1,2
940990,BTC,55295.9,8.08,696.48,0,60399,60888
940990,ETH,2151.88,0.01,0,1429.78,2376,2474
940990,ADA,1.20485,0.0021,0,0,1,2
941000,BTC,55272.4,16.95,0,0,60399,60888
941000,ETH,2154.26,0.01,0,0,2376,2474
941000,ADA,1.2037,0.0014,0,0,1,2
941010,BTC,55155.2,0.01,0,0,60399,60888
941010,ETH,2155.67,0.64,0,0,2376,2474
941010,ADA,1.2077,0.0014,0,0,1,2
941020,BTC,55000.8,0.01,1208.68,0,60395,60888
941020,ETH,2150.01,0.01,0,0,2376,2474
941020,ADA,1.20665,0.0027,0,0,1,2
941030,BTC,55104.4,15.86,947.66,88.77,60392,60888
941030,ETH,2156.63,0.36,0,0,2376,2474
941030,ADA,1.2068,0.003,54.45,0,1,2
941040,BTC,55113.6,0.01,458.17,1229.12,60392,60888
941040,ETH,2158.82,0.52,0,0,2376,2474
941040,ADA,1.21085,0.0039,0,0,1,2
941050,BTC,55197.1,17.99,0,120.41,60391,60888
941050,ETH,2155.41,0.75,0,2449.71,2376,2474
941050,ADA,1.2064,0.0024,0,0,1,2
941060,BTC,55228.1,0.01,0,0,60391,60888
941060,ETH,2154.5,0.84,0,0,2376,2474
941060,ADA,1.2033,0.0014,0,0,1,2
941070,BTC,55228.1,0.01,0,0,60391,60888
941070,ETH,2156.38,0.72,0,0,2376,2474
941070,ADA,1.2052,0.0018,0,30.29,1,2
941080,BTC,55100.7,0.01,0,0,60391,60888
941080,ETH,2148.14,0.23,0,0,2376,2474
941080,ADA,1.2028,0.0004,0,0,1,2
941090,BTC,55185.7,0.01,0,0,60390,60888
941090,ETH,2142.59,1.07,0,0,2376,2474
941090,ADA,1.2002,0.0004,0,0,1,2
941100,BTC,55252.1,5.57,8055.95,0,60389,60888
941100,ETH,2142.68,0.16,0,0.42,2376,2474
941100,ADA,1.2004,0.0008,0,0,1,2
941110,BTC,55194.7,0.46,0,0,60389,60888
941110,ETH,2139.09,0.64,0,0,2376,2474
941110,ADA,1.20425,0.0057,0,0,1,2
941120,BTC,55275.4,0.01,0,0,60389,60888
941120,ETH,2143.45,0.19,0,0,2376,2474
941120,ADA,1.2043,0.003,0,0,1,2
941130,BTC,55211.6,2.3,0,0,60389,60888
941130,ETH,2148.28,0.01,0,0,2376,2474
941130,ADA,1.20585,0.0027,0,0,1,2
941140,BTC,55227.7,11.77,0,0,60389,60888
941140,ETH,2143.82,0.11,0,0,2376,2474
941140,ADA,1.20245,0.0007,0,0,1,2
941150,BTC,55247.7,0.01,0,0,60389,60888
941150,ETH,2137.43,0.01,0,3239.87,2376,2474
941150,ADA,1.2009,0.0016,0,0,1,2
941160,BTC,55205.5,14.92,0,0,60389,60888
941160,ETH,2144.51,0.62,0,0,2376,2474
941160,ADA,1.20205,0.0015,0,50.01,1,2
941170,BTC,55230.2,0.01,0,0,60389,60888
941170,ETH,2151.65,1.2,0,4.98,2376,2474
941170,ADA,1.20335,0.0027,0,0,1,2
941180,BTC,55183.4,29.24,0,0,60389,60888
941180,ETH,2151.7,0.01,0,0,2376,2474
941180,ADA,1.20625,0.0029,0,0,1,2
941190,BTC,55198,0.01,235.09,0,60388,60888
941190,ETH,2153.85,0.01,0,0,2376,2474
941190,ADA,1.20815,0.0031,0,0,1,2
941200,BTC,55153.4,0.01,0,0,60388,60888
941200,ETH,2153.77,0.58,0,0,2376,2474
941200,ADA,1.2106,0.0016,0,0,1,2
941210,BTC,55166.1,9.44,0,209.32,60388,60888
941210,ETH,2156.89,1.43,13265.1,0,2376,2474
941210,ADA,1.2116,0.0016,0,0,1,2
941220,BTC,55162.4,12.27,0,344.59,60388,60888
941220,ETH,2156.16,0.01,0,0,2376,2474
941220,ADA,1.2128,0.002,0,0,1,2
941230,BTC,55057.3,6.13,0,0,60388,60888
941230,ETH,2151.72,0.01,0,758,2376,2474
941230,ADA,1.2112,0.002,0,0,1,2
941240,BTC,55099.2,0.01,0,0,60388,60888
941240,ETH,2150.22,0.01,0,0,2376,2474
941240,ADA,1.21085,0.0017,0,0,1,2
941250,BTC,55042.2,0.01,0,0,60388,60888
941250,ETH,2153.18,0.45,0,0,2376,2474
941250,ADA,1.21225,0.0013,21.37,0,1,2
941260,BTC,55008.9,9.55,0,0,60388,60888
941260,ETH,2149.14,0.85,0,0,2376,2474
941260,ADA,1.2113,0.0024,0,0,1,2
941270,BTC,54920.2,13.09,0,0,60388,60888
941270,ETH,2149.22,0.01,0,0,2376,2474
941270,ADA,1.2117,0.0004,0,0,1,2
941280,BTC,54902.9,13.18,0,0,60388,60888
941280,ETH,2151.06,1.16,0,0,2376,2474
941280,ADA,1.2111,0.0018,0,0,1,2
941290,BTC,54805,0.01,0,0,60388,60888
941290,ETH,2148.49,0.59,0,27.88,2376,2474
941290,ADA,1.2126,0.0012,0,0,1,2
941300,BTC,54808.5,12.62,1917.22,0,60387,60888
941300,ETH,2143.14,0.17,0,0,2376,2474
941300,ADA,1.20885,0.0023,0,0,1,2
941310,BTC,54874.3,15.55,0,0,60387,60888
941310,ETH,2146.45,1.33,0,4.54,2376,2474
941310,ADA,1.20975,0.0017,0,0,1,2
941320,BTC,54799.6,12.96,0,0,60387,60888
941320,ETH,2146.45,1.33,0,4.54,2376,2474
941320,ADA,1.20565,0.0021,0,0,1,2
941330,BTC,54761.1,0.01,0,0,60386,60888
941330,ETH,2137.43,0.01,0,0,2376,2474
941330,ADA,1.20545,0.0021,0,0,1,2
941340,BTC,54747.6,0.01,0,20.95,60386,60888
941340,ETH,2134.6,0.2,0,0,2376,2474
941340,ADA,1.2049,0.001,0,0,1,2
941350,BTC,54737.7,6.79,0,0,60386,60888
941350,ETH,2133.86,0.21,0,1002.42,2376,2474
941350,ADA,1.20255,0.0023,0,0,1,2
941360,BTC,54708.6,14.73,0,0,60386,60888
941360,ETH,2130.2,0.39,0,0,2376,2474
941360,ADA,1.203,0.0028,0,0,1,2
941370,BTC,54800.3,15.45,0,0,60386,60888
941370,ETH,2125.02,0.6,0,0,2376,2474
941370,ADA,1.20105,0.0015,0,0,1,2
941380,BTC,54860.1,0.01,4520.97,0,60386,60888
941380,ETH,2132.18,0.47,18116.1,0,2376,2474
941380,ADA,1.2014,0.002,0,0,1,2
941390,BTC,54851.5,8,0,0,60386,60888
941390,ETH,2131.97,0.45,0,0,2376,2474
941390,ADA,1.20245,0.0017,315.53,0,1,2
941400,BTC,54942,14.06,0,0,60386,60888
941400,ETH,2132.03,0.19,1492.25,0,2376,2474
941400,ADA,1.20245,0.0023,0,0,1,2
941410,BTC,54983.1,2.84,0,0,60385,60888
941410,ETH,2128.43,0.51,240.28,0,2376,2474
941410,ADA,1.20025,0.0005,0,0,1,2
941420,BTC,54913.9,16.41,0,0,60385,60888
941420,ETH,2124.78,0.51,0,0,2376,2474
941420,ADA,1.20005,0.0001,0,0,1,2
941430,BTC,54895.6,0.01,0,0,60385,60888
941430,ETH,2123.86,0.32,0,0,2376,2474
941430,ADA,1.20035,0.0007,0,0,1,2
941440,BTC,54869.4,0.01,768.08,0,60384,60888
941440,ETH,2128.32,0.6,0,368.93,2376,2474
941440,ADA,1.20035,0.0005,0,3122.08,1,2
941450,BTC,54869,0.76,0,0,60384,60888
941450,ETH,2133.43,0.48,0,0,2376,2474
941450,ADA,1.2051,0.0028,0,0,1,2
941460,BTC,54896.4,0.01,0,0,60383,60888
941460,ETH,2130.43,1.25,0,0,2376,2474
941460,ADA,1.20625,0.0035,0,275.95,1,2
941470,BTC,54950.7,16.26,0,0,60383,60888
941470,ETH,2135.27,0.01,0,0,2376,2474
941470,ADA,1.2043,0.0016,0,0,1,2
941480,BTC,54996.8,5.15,0,4030.96,60383,60888
941480,ETH,2135.27,0.01,0,0,2376,2474
941480,ADA,1.2064,0.0022,0,0,1,2
941490,BTC,55055.3,0.01,0,0,60382,60888
941490,ETH,2137.55,0.01,0,0,2376,2474
941490,ADA,1.2064,0.0024,0,0,1,2
941500,BTC,54988.8,0.01,0,0,60382,60888
941500,ETH,2134.38,0.97,0,0,2376,2474
941500,ADA,1.20185,0.0023,0,0,1,2
941510,BTC,55091.2,1.14,0,0,60382,60888
941510,ETH,2136.88,0.52,0,0,2376,2474
941510,ADA,1.20215,0.0033,0,0,1,2
941520,BTC,55092.2,0.01,0,0,60382,60888
941520,ETH,2134.72,0.01,0,0,2376,2474
941520,ADA,1.20255,0.0025,0,0,1,2
941530,BTC,55160.3,0.01,0,0,60382,60888
941530,ETH,2137.18,0.32,1495.91,0,2376,2474
941530,ADA,1.203,0.0032,1865.29,0,1,2
941540,BTC,55218.5,0.01,0,0,60382,60888
941540,ETH,2139.64,0.81,0,0,2376,2474
941540,ADA,1.2032,0.003,0,0,1,2
941550,BTC,55242.7,0.01,0,0,60382,60888
941550,ETH,2143.7,0.27,0,0,2376,2474
941550,ADA,1.203,0.0032,0,0,1,2
941560,BTC,55220.3,14.44,0,0,60382,60888
941560,ETH,2141.2,0.01,0,0,2376,2474
941560,ADA,1.20225,0.0019,0,0,1,2
941570,BTC,55267.9,0.01,0,0,60382,60888
941570,ETH,2143.17,0.3,0,0,2376,2474
941570,ADA,1.20255,0.0017,0,0,1,2
941580,BTC,55234.1,4.1,0,0,60382,60888
941580,ETH,2144.12,0.01,0,0,2376,2474
